Id,User,Text,Date,Request 
"1308051155209957376","museziqa","RT @IzzatiElya: Wallahi. Sick seeing this! Come on Malaysian! Against LGBTQ! Don't be the next Kota Sadom!

#TetapNormal","Mon Sep 21 16:31:12 CEST 2020","come on"
"1308051154736160770","akanealw","RT @APPLESHAMPOO___: I'm live on NoPixel! Come hang out with meeee

https://t.co/RumXWD5rwW https://t.co/PlXqfAYerJ","Mon Sep 21 16:31:12 CEST 2020","come on"
"1308051154597638146","Kishpujari","RT @Priuushi: @smitaparikh2 as I said,here r 15+ names of brands which Kareena & Saif endrose Come on,let's not forget &let's not forget ho…","Mon Sep 21 16:31:12 CEST 2020","come on"
"1308051149925343234","gailart61","RT @DadTrans: Never argue with a TERF. You just come out of it feeling grubby & demoralised, while the TERF gets the attention they crave,…","Mon Sep 21 16:31:11 CEST 2020","come on"
"1308051149258280965","JohannG15","Where do babies come from? Let’s start there. Our sex life is limited to waking up on the middle of the night, and hoping that our older son will not choose that 20 minutes to come to our bed, which he will eventually.","Mon Sep 21 16:31:11 CEST 2020","come on"
"1308051148939632641","Ockavelli1","@CochiseDaKool Ima leave dat where it’s at but ima open the phone lines up ina min a today’s topic going be 

How do you tell dat one friend dat he don’t know shit about shit he be tombout when it come to sports and Women and Cars and Guns ? But that’s Later on Co so you got time","Mon Sep 21 16:31:10 CEST 2020","come on"
"1308051146783649794","sudha2oct","RT @Pavanagrawal133: If you want to stop demographic changes then tweet on #WeWantPopulationControlLaw .

Hindus are in minority in around…","Mon Sep 21 16:31:10 CEST 2020","come on"
"1308051146389372928","Mineral_Air_","@come_on_blue_ 👀","Mon Sep 21 16:31:10 CEST 2020","come on"
"1308051145114427393","Evahgold1","RT @Terrestrialforc: Royal Ninjas 🗡️ in minna Call Maffyy on 08157516341 ASAP to meet with him at Brighter Suits to VOTE Nengi

Come with y…","Mon Sep 21 16:31:10 CEST 2020","come on"
"1308051144782929920","Shipra4796","Let's go for it. Come on RCB. Let’s win this match @StarSportsTel #StarNiAdugu","Mon Sep 21 16:31:09 CEST 2020","come on"
"1308051526326214660","nazurayusof","RT @IzzatiElya: Wallahi. Sick seeing this! Come on Malaysian! Against LGBTQ! Don't be the next Kota Sadom!

#TetapNormal","Mon Sep 21 16:32:40 CEST 2020","come on"
"1308051525055414274","PaulJohnson30","@realDonaldTrump 
Mark Levin has invited Joe Biden yo come on his TV SHOW.  Please retweet this!","Mon Sep 21 16:32:40 CEST 2020","come on"
"1308051524506050561","leeniekelly","RT @jsolomonReports: A year after impeachment, Hunter Biden’s Ukraine activities come home to roost.  Senate report expected to identify co…","Mon Sep 21 16:32:40 CEST 2020","come on"
"1308051524300439555","Roseeee814","RT @monipersona: namjoon starting spring day with 'it’s been the roughest summer ever but we know that spring will come. so let’s go togeth…","Mon Sep 21 16:32:40 CEST 2020","come on"
"1308051522207481859","odetteroulette","It's time to do the work of getting rid of your implicit bias, racism, and misogyny. It will sometimes feel bad, but imagine how it feels for the ppl you've been participating in oppressing. I mean, damn. Come on.","Mon Sep 21 16:32:39 CEST 2020","come on"
"1308051521322577923","Jennybriss","RT @hobbitoncentral: People need to look at Chris Whitty’s CV - in particular, his work on Ebola. He didn’t come down in the last drop of r…","Mon Sep 21 16:32:39 CEST 2020","come on"
"1308051521146425344","suums_","RT @Mss_Incredible: Ya rabbi... Come through for me and my girls🥺🤲as all our trust is on you! Cus you’re the giver of all and everything 🙏","Mon Sep 21 16:32:39 CEST 2020","come on"
"1308051520898895873","derry_ville","RT @derry_ville: we might not be on good terms but if we enter together we'll come out together","Mon Sep 21 16:32:39 CEST 2020","come on"
"1308051518273261577","AlfrmMoneyy","RT @AlfrmMoneyy: I’m in the trenches just tell em come get up on me 👌🏽💰💫👣 https://t.co/Pna7rLH6Nt","Mon Sep 21 16:32:39 CEST 2020","come on"
"1308051516549459969","DorothyBeliles","@Haziepietv @wanaoni_michael @realDonaldTrump @foxandfriends The recording was on national TV as he was walking through Arlington cemetery...
  Debunked my a** he will be debunked come November 3rd..and tht sheep, is a fact..","Mon Sep 21 16:32:38 CEST 2020","come on"
"1308051514771091456","RealCarlAllen","@JoeBiden A reminder for your debate in Cleveland, this may or may not come up given current events but you need to press Trump on jobs as well

https://t.co/o25djZW9eE","Mon Sep 21 16:32:38 CEST 2020","come on"
"1308051514762682369","perkinsromanoff","like i mean it’s actually genius come on","Mon Sep 21 16:32:38 CEST 2020","come on"
"1308051514183868417","sexySHEZABELLE","🥰 Come talk to me on #onlyfans I'll show you these #nudes #titties. #naughty #milf with #bigboobs offering huge discount to join my Onlyfans page! $3.99 #onlyfansgirl #onlyfansnewbies can't w8 to hear from you ❤ 💋💋😉
https://t.co/N8gp3p8ABC https://t.co/Y6RvYPZAMv","Mon Sep 21 16:32:38 CEST 2020","come on"
"1308051513881886721","jaylaurenjay","RT @iplaygames_64: one of my favourite dev's & publisher of all time is @Team17Ltd 
literally for years since Superfrog & Worms on the Amig…","Mon Sep 21 16:32:37 CEST 2020","come on"
"1308051513479180288","KenElder10","@AlexBerenson My thought on any vaccine for any disease has always been that if the scientists who come up with it take it first, I will take it second.","Mon Sep 21 16:32:37 CEST 2020","come on"
"1308052425509670912","AuxVoletsBleus","@sarahbeattiegra I have a cheap Tesco one from 15-16 years ago. It still works.","Mon Sep 21 16:36:15 CEST 2020","it works"
"1308052420174512129","MilfChocolateK","RT @theonlyslaayy: it’s funny how love works. you know somebody’s gonna get hurt , and you just pray that it ain’t you","Mon Sep 21 16:36:14 CEST 2020","it works"
"1308052418253344769","K3NNYKLIZZL3","@AnthonyJavond @LoganRyanGoss @blxxd_rxse @AnndeRoo @nytimes Well gee, that's kind of how it works.","Mon Sep 21 16:36:13 CEST 2020","it works"
